iter	Passed	Remaining
0	0	97
1	1	84
2	2	78
3	3	74
4	3	75
5	5	78
6	5	79
7	6	79
8	7	80
9	8	79
10	9	79
11	10	78
12	11	77
13	12	78
14	13	76
15	14	76
16	15	75
17	16	74
18	17	73
19	18	72
20	19	71
21	19	70
22	20	70
23	21	69
24	23	69
25	23	68
26	24	67
27	25	66
28	26	65
29	27	64
30	28	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	37	55
40	38	54
41	39	54
42	40	53
43	40	51
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	51	41
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	17
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	92	1
98	93	0
99	94	0
